onset	duration	event_type	stimulus_name	task_name
161.42050000000006	15.0	block_start	block_start	extinction
176.42050000000006	8.0	CS-	square	extinction
192.17049999999995	8.0	CS+	diamond	extinction
207.1695	8.0	CS+	diamond	extinction
223.6685	8.0	CS-	square	extinction
237.9185	8.0	CS+	diamond	extinction
253.92150000000012	8.0	CS-	square	extinction
270.17049999999995	8.0	CS+	diamond	extinction
284.92049999999995	8.0	CS-	square	extinction
300.4195	8.0	CS+	diamond	extinction
315.6685	8.0	CS-	square	extinction
332.91550000000007	8.0	CS-	square	extinction
347.4215000000001	8.0	CS+	diamond	extinction
364.4205	8.0	CS+	diamond	extinction
379.9195	8.0	CS-	square	extinction
396.1695	8.0	CS+	diamond	extinction
410.4185	8.0	CS-	square	extinction
426.1695	8.0	CS+	diamond	extinction
441.42150000000015	8.0	CS-	square	extinction
457.9205	8.0	CS+	diamond	extinction
474.6695	8.0	CS-	square	extinction
489.1695	8.0	CS+	diamond	extinction
506.41550000000007	8.0	CS-	square	extinction
523.4185	8.0	CS+	diamond	extinction
538.1715000000002	8.0	CS-	square	extinction
554.1705	8.0	CS+	diamond	extinction
569.1705	8.0	CS+	diamond	extinction
583.6695	8.0	CS-	square	extinction
600.1685	8.0	CS+	diamond	extinction
615.6715000000002	8.0	CS-	square	extinction
630.9215000000002	8.0	CS-	square	extinction
647.1705	8.0	CS+	diamond	extinction
663.1705	8.0	CS-	square	extinction
678.9195	8.0	CS+	diamond	extinction
693.1725000000001	8.0	CS-	square	extinction
710.4195	8.0	CS+	diamond	extinction
725.4215000000002	8.0	CS-	square	extinction
740.1705	8.0	CS+	diamond	extinction
757.1705	8.0	CS-	square	extinction
773.9195	8.0	CS-	square	extinction
790.9225000000001	8.0	CS+	diamond	extinction
813.9225000000001	0.0	block_end	block_end	extinction
