onset	duration	event_type	blink	message
4882292				NO Reply is disabled for function eyelink_cal_result
4882343				RECCFG CR 1000 2 0 LR
4882343				ELCLCFG BTOWER
4882343				GAZE_COORDS 0.00 0.00 1920.00 1080.00
4882343				THRESHOLDS L 137 237 R 122 227
4882343				ELCL_WINDOW_SIZES 160 160 0 0
4882343				CAMERA_LENS_FOCAL_LENGTH 27.00
4882343				PUPIL_DATA_TYPE RAW_AUTOSLIP
4882343				ELCL_PROC ELLIPSE (5)
4882343				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
4882364	6.0	fixation	0.0	
4882370	35.0	saccade	0.0	
4882405	293.0	fixation	0.0	
4882666	3.0	blink	1.0	
4882646	125.0	saccade	0.0	
4882772	93.0	fixation	0.0	
4882908	174.0	blink	1.0	
4882878	242.0	saccade	0.0	
4883147	228.0	fixation	0.0	
4883348	41.0	saccade	0.0	
4883393	348.0	fixation	0.0	
4883740	26.0	saccade	0.0	
4883766	277.0	fixation	0.0	
4884136	213.0	blink	1.0	
4884043	315.0	saccade	0.0	
4884358	87.0	fixation	0.0	
4884455	174.0	blink	1.0	
4884445	225.0	saccade	0.0	
4884692	183.0	fixation	0.0	
4884876	60.0	saccade	0.0	
4884946	172.0	fixation	0.0	
4885118	91.0	saccade	0.0	
4885220	271.0	fixation	0.0	
4885538	761.0	blink	1.0	
4885481	845.0	saccade	0.0	
4886338	146.0	fixation	0.0	
4886485	50.0	saccade	0.0	
4886536	1797.0	fixation	0.0	
4888370	99.0	blink	1.0	
4888345	175.0	saccade	0.0	
4888559	246.0	fixation	0.0	
4888766	78.0	saccade	0.0	
4888871	22.0	fixation	0.0	
4888893	95.0	saccade	0.0	
4888988	259.0	fixation	0.0	
4889340	98.0	blink	1.0	
4889261	230.0	saccade	0.0	
4889499	111.0	fixation	0.0	
4889588	40.0	saccade	0.0	
4889628	575.0	fixation	0.0	
4890204	28.0	saccade	0.0	
4890233	1600.0	fixation	0.0	
4891870	135.0	blink	1.0	
4891841	209.0	saccade	0.0	
4892062	370.0	fixation	0.0	
4892420	40.0	saccade	0.0	
4892462	88.0	fixation	0.0	
4892551	32.0	saccade	0.0	
4892582	391.0	fixation	0.0	
4892973	21.0	saccade	0.0	
4892994	231.0	fixation	0.0	
4893225	11.0	saccade	0.0	
4893237	1087.0	fixation	0.0	
4894325	15.0	saccade	0.0	
4894340	971.0	fixation	0.0	
4895312	22.0	saccade	0.0	
4895334	161.0	fixation	0.0	
4895536	160.0	blink	1.0	
4895504	262.0	saccade	0.0	
4895782	444.0	fixation	0.0	
4896211	32.0	saccade	0.0	
4896244	148.0	fixation	0.0	
4896392	107.0	saccade	0.0	
4896499	215.0	fixation	0.0	
4896714	42.0	saccade	0.0	
4896758	45.0	fixation	0.0	
4896802	96.0	saccade	0.0	
4896897	1707.0	fixation	0.0	
