onset	duration	event_type	stimulus_name	task_name
405.035	15.0	block_start	block_start	habituation
420.035	8.0	CS+	square	habituation
436.284	8.0	CS-	diamond	habituation
452.783	8.0	CS-	diamond	habituation
468.533	8.0	CS+	square	habituation
485.282	8.0	CS-	diamond	acquisition
500.285	8.0	CS-	diamond	acquisition
517.531	8.0	CS+	square	acquisition
525.031	0.5	US	shock	acquisition
532.784	8.0	CS+	square	acquisition
540.284	0.5	US	shock	acquisition
549.284	8.0	CS-	diamond	acquisition
564.033	8.0	CS+	square	acquisition
571.533	0.5	US	shock	acquisition
579.786	8.0	CS-	diamond	acquisition
594.035	8.0	CS+	square	acquisition
601.535	0.5	US	shock	acquisition
610.035	8.0	CS-	diamond	acquisition
626.284	8.0	CS+	square	acquisition
640.784	8.0	CS+	square	acquisition
648.284	0.5	US	shock	acquisition
656.283	8.0	CS-	diamond	acquisition
673.283	8.0	CS-	diamond	acquisition
689.036	8.0	CS+	square	acquisition
696.536	0.5	US	shock	acquisition
703.785	8.0	CS-	diamond	acquisition
720.284	8.0	CS+	square	acquisition
743.284	0.0	block_end	block_end	acquisition
